,lang,name,pdf,file
21,español,AMMS - Asociación Mixto Micro Snacks,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AMMS-AsociaciónMixtoMicroSnacks-spa.pdf,pdf/vz/AMMS_-_Asociación_Mixto_Micro_Snacks.pdf
22,español,AMPARAMPI - Asociación Mujeres Artesanas,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AMPARAMPI-AsociaciónMujeresArtesanas-spa.pdf,pdf/vz/AMPARAMPI_-_Asociación_Mujeres_Artesanas.pdf
23,español,AMSXXI - Asociación Mutual Siglo XXI,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AMSXXI-AsociaciónMutualSigloXXI-spa.pdf,pdf/vz/AMSXXI_-_Asociación_Mutual_Siglo_XXI.pdf
24,español,ANAMURI - Asociación Nacional Mujeres Rurales Indígenas,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ANAMURI-AsociaciónNacionalMujeresRuralesIndígenas-spa.pdf,pdf/vz/ANAMURI_-_Asociación_Nacional_Mujeres_Rurales_Indígenas.pdf
25,español,ANAUCO -Alianza Nacional Usuarios Consumidores,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ANAUCO-AlianzaNacionalUsuariosConsumidores-spa.pdf,pdf/vz/ANAUCO_-Alianza_Nacional_Usuarios_Consumidores.pdf
26,español,ANEC - Asociación Nacional Economistas Contadores Cuba,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ANEC-AsociaciónNacionalEconomistasContadoresCuba-spa.pdf,pdf/vz/ANEC_-_Asociación_Nacional_Economistas_Contadores_Cuba.pdf
27,español,ANROS - Asociación Nacional Redes Organizaciones Sociales,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ANROS-AsociaciónNacionalRedesOrganizacionesSociales-spa.pdf,pdf/vz/ANROS_-_Asociación_Nacional_Redes_Organizaciones_Sociales.pdf
28,español,AP - Amantes Parranda,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AP-AmantesParranda-spa.pdf,pdf/vz/AP_-_Amantes_Parranda.pdf
29,español,APDHLP - Asamblea Permanente Derechos Humanos La Paz,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/%20%20%3CTD%20height=13%3E,pdf/vz/APDHLP_-_Asamblea_Permanente_Derechos_Humanos_La_Paz.pdf
30,español,APGCC - Asociacón Profesionales Graduados Cuba,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/APGCC-AsociacónProfesionalesGraduadosCuba-spa.pdf,pdf/vz/APGCC_-_Asociacón_Profesionales_Graduados_Cuba.pdf
31,español,APIMNE - Asociación Productores Integrales Nueva Esperanza,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/APIMNE-AsociaciónProductoresIntegralesNuevaEsperanza-spa.pdf,pdf/vz/APIMNE_-_Asociación_Productores_Integrales_Nueva_Esperanza.pdf
32,español,APV - Asociación Vida,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/APV-AsociaciónVida-spa.pdf,pdf/vz/APV_-_Asociación_Vida.pdf
33,español,ARAPOTY ,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ARAPOTY-spa.pdf,pdf/vz/ARAPOTY.pdf
34,español,ARMRLL - Rentistas Mineros Regional Llallagua,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ARMRLL-RentistasMinerosRegionalLlallagua-spa.pdf,pdf/vz/ARMRLL_-_Rentistas_Mineros_Regional_Llallagua.pdf
35,español,ASKAPENA - Organización Internacionalista Vasca,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ASKAPENA-OrganizaciónInternacionalistaVasca-spa.pdf,pdf/vz/ASKAPENA_-_Organización_Internacionalista_Vasca.pdf
36,español,Base de Paz,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Base%20de%20Paz-spa.pdf,pdf/vz/Base_de_Paz.pdf
37,español,BCB - Brigada Sipriano Barace,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/BCB-BrigadaSiprianoBarace-spa.pdf,pdf/vz/BCB_-_Brigada_Sipriano_Barace.pdf
38,español,BECKET - Fund - Becket Fund Religious Liberty,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/BECKET%20Fund-BecketFundReligiousLiberty-eng.pdf,pdf/vz/BECKET_-_Fund_-_Becket_Fund_Religious_Liberty.pdf
39,español,BHS - Black Heritage Society,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/BHS-BlackHeritageSociety-eng.pdf,pdf/vz/BHS_-_Black_Heritage_Society.pdf
40,,Consejos Comunales,,pdf/vz/Consejos_Comunales.pdf
41,español,C.C. 8 de Febrero,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20%208%20de%20Febrero-spa.pdf,pdf/vz/C.C._8_de_Febrero.pdf
42,español,C.C. 1 de Mayo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%201%20de%20Mayo-spa.pdf,pdf/vz/C.C._1_de_Mayo.pdf
43,español,C.C. 12 de Octubre,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%2012%20de%20Octubre-spa.pdf,pdf/vz/C.C._12_de_Octubre.pdf
44,español,C.C. 23 de Enero,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%2023%20de%20Enero-spa.pdf,pdf/vz/C.C._23_de_Enero.pdf
45,español,C.C. Admirable Garairepano,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Admirable%20Garairepano-spa.pdf,pdf/vz/C.C._Admirable_Garairepano.pdf
46,español,C.C. Alta Vista Sur,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Alta%20Vista%20Sur-spa.pdf,pdf/vz/C.C._Alta_Vista_Sur.pdf
47,español,C.C. Andes Sur,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Andes%20Sur-spa.pdf,pdf/vz/C.C._Andes_Sur.pdf
48,español,C.C. Andrés Eloy Blanco 2,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Andrés%20Eloy%20Blanco%202-spa.pdf,pdf/vz/C.C._Andrés_Eloy_Blanco_2.pdf
49,español,C.C. Araguata Revolucionaria,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Araguata%20Revolucionaria-spa.pdf,pdf/vz/C.C._Araguata_Revolucionaria.pdf
50,español,C.C. Arturo Michelena I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Arturo%20Michelena%20I-spa.pdf,pdf/vz/C.C._Arturo_Michelena_I.pdf
51,español,C.C. Bahía Honda,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bahía%20Honda-spa.pdf,pdf/vz/C.C._Bahía_Honda.pdf
52,español,C.C. Barrero Boquerón,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barrero%20Boquerón-spa.pdf,pdf/vz/C.C._Barrero_Boquerón.pdf
53,español,C.C. Barrio 17 de Junio,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barrio%2017%20de%20Junio-spa.pdf,pdf/vz/C.C._Barrio_17_de_Junio.pdf
54,español,C.C. Barrio Alianza,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barrio%20Alianza-spa.pdf,pdf/vz/C.C._Barrio_Alianza.pdf
55,español,C.C. Barrio El Progreso,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barrio%20El%20Progreso-spa.pdf,pdf/vz/C.C._Barrio_El_Progreso.pdf
56,español,C.C. Barrio Sucre Parte Alta,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barrio%20Sucre%20Parte%20Alta-spa.pdf,pdf/vz/C.C._Barrio_Sucre_Parte_Alta.pdf
57,español,C.C. Barroso Arriba,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Barroso%20Arriba-spa.pdf,pdf/vz/C.C._Barroso_Arriba.pdf
58,español,C.C. Bethania 1,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bethania%201-spa.pdf,pdf/vz/C.C._Bethania_1.pdf
59,español,C.C. Bicentenario,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bicentenario-spa.pdf,pdf/vz/C.C._Bicentenario.pdf
60,español,C.C. Blanquita de Pérez,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Blanquita%20de%20Pérez-spa.pdf,pdf/vz/C.C._Blanquita_de_Pérez.pdf
61,español,C.C. Bloque 3 La Castra,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bloque%203%20La%20Castra-spa.pdf,pdf/vz/C.C._Bloque_3_La_Castra.pdf
62,español,C.C. Bolívar es Libertad,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bolívar%20es%20Libertad-spa.pdf,pdf/vz/C.C._Bolívar_es_Libertad.pdf
63,español,C.C. Bolívar Guabina I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bolívar%20Guabina%20I-spa.pdf,pdf/vz/C.C._Bolívar_Guabina_I.pdf
64,español,C.C. Bolívar Guabina I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bolívar%20Guabina%20I-spa.pdf,pdf/vz/C.C._Bolívar_Guabina_I.pdf
65,español,C.C. Brisas de Altagracia,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Brisas%20de%20Altagracia-spa.pdf,pdf/vz/C.C._Brisas_de_Altagracia.pdf
66,español,C.C. Brisas de Ayacucho,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Brisas%20de%20Ayacucho-spa.pdf,pdf/vz/C.C._Brisas_de_Ayacucho.pdf
67,español,C.C. Brisas del Terminal,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Brisas%20del%20Terminal-spa.pdf,pdf/vz/C.C._Brisas_del_Terminal.pdf
68,español,C.C. Buenos Aires Nueva Esparta,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Buenos%20Aires%20Nueva%20Esparta-spa.pdf,pdf/vz/C.C._Buenos_Aires_Nueva_Esparta.pdf
69,español,C.C. Buenos Aires Yaracuy,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Buenos%20Aires%20Yaracuy-spa.pdf,pdf/vz/C.C._Buenos_Aires_Yaracuy.pdf
70,español,C.C. Cacique Mara II,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cacique%20Mara%20II-spa.pdf,pdf/vz/C.C._Cacique_Mara_II.pdf
71,español,C.C. Caja de Agua,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Caja%20de%20Agua-spa.pdf,pdf/vz/C.C._Caja_de_Agua.pdf
72,español,C.C. Calle El Centro del Milagro,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Calle%20El%20Centro%20del%20Milagro-spa.pdf,pdf/vz/C.C._Calle_El_Centro_del_Milagro.pdf
73,español,C.C. Calle Principal El Milagro,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Calle%20Principal%20El%20Milagro-spa.pdf,pdf/vz/C.C._Calle_Principal_El_Milagro.pdf
74,español,C.C. Cambalache 3-1,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cambalache%203-1-spa.pdf,pdf/vz/C.C._Cambalache_3-1.pdf
75,español,C.C. Campeare,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Campeare-spa.pdf,pdf/vz/C.C._Campeare.pdf
76,español,C.C. Campo Elías Unido,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Campo%20Elías%20Unido-spa.pdf,pdf/vz/C.C._Campo_Elías_Unido.pdf
77,español,C.C. Campo Mar,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Campo%20Mar-spa.pdf,pdf/vz/C.C._Campo_Mar.pdf
78,español,C.C. Campo Sural,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Campo%20Sural-spa.pdf,pdf/vz/C.C._Campo_Sural.pdf
79,español,C.C. Caracas 2,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Caracas%202-spa.pdf,pdf/vz/C.C._Caracas_2.pdf
80,español,C.C. Casas Chinas,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Casas%20Chinas-spa.pdf,pdf/vz/C.C._Casas_Chinas.pdf
81,español,C.C. Caño Grulla,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Caño%20Grulla-spa.pdf,pdf/vz/C.C._Caño_Grulla.pdf
82,español,C.C. Centinela de la Popa,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Centinela%20de%20la%20Popa-spa.pdf,pdf/vz/C.C._Centinela_de_la_Popa.pdf
83,español,C.C. Cerromar,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cerromar-spa.pdf,pdf/vz/C.C._Cerromar.pdf
84,español,C.C. Chaparral Los Pinos,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Chaparral%20Los%20Pinos-spa.pdf,pdf/vz/C.C._Chaparral_Los_Pinos.pdf
85,español,C.C. Chávez Nosotros Sí Podemos,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Chávez%20Nosotros%20Sí%20Podemos-spa.pdf,pdf/vz/C.C._Chávez_Nosotros_Sí_Podemos.pdf
86,español,C.C. Claudio Gabino Uribe,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Claudio%20Gabino%20Uribe-spa.pdf,pdf/vz/C.C._Claudio_Gabino_Uribe.pdf
87,español,C.C. Colinas de Guatiri,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Colinas%20de%20Guatiri-spa.pdf,pdf/vz/C.C._Colinas_de_Guatiri.pdf
88,español,C.C. Colinas Tierra Blanca,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Colinas%20Tierra%20Blanca-spa.pdf,pdf/vz/C.C._Colinas_Tierra_Blanca.pdf
89,español,C.C. Comunidad Laja Lisa,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Comunidad%20Laja%20Lisa-spa.pdf,pdf/vz/C.C._Comunidad_Laja_Lisa.pdf
90,español,C.C. Conaima Sur,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Conaima%20Sur-spa.pdf,pdf/vz/C.C._Conaima_Sur.pdf
91,español,C.C. Copey,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Copey-spa.pdf,pdf/vz/C.C._Copey.pdf
92,español,C.C. Costa de Paria,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Costa%20de%20Paria-spa.pdf,pdf/vz/C.C._Costa_de_Paria.pdf
93,español,C.C. Cottajiraawa,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cottajiraawa-spa.pdf,pdf/vz/C.C._Cottajiraawa.pdf
94,español,C.C. Cristóbal Colón,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cristóbal%20Colón-spa.pdf,pdf/vz/C.C._Cristóbal_Colón.pdf
95,español,C.C. Cruz de Mayo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cruz%20de%20Mayo-spa.pdf,pdf/vz/C.C._Cruz_de_Mayo.pdf
96,español,C.C. Cruz Revolucionaria,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cruz%20Revolucionaria-spa.pdf,pdf/vz/C.C._Cruz_Revolucionaria.pdf
97,español,C.C. Cruz Sur,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cruz%20Sur-spa.pdf,pdf/vz/C.C._Cruz_Sur.pdf
98,español,C.C. Cuji Negro,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cuji%20Negro-spa.pdf,pdf/vz/C.C._Cuji_Negro.pdf
99,español,C.C. Danto I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Danto%20I-spa.pdf,pdf/vz/C.C._Danto_I.pdf
100,español,C.C. de la Comunidad de Kakuri,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20de%20la%20Comunidad%20de%20Kakuri-spa.pdf,pdf/vz/C.C._de_la_Comunidad_de_Kakuri.pdf
101,español,C.C. de la Población Casco Central,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20de%20la%20Población%20Casco%20Central-spa.pdf,pdf/vz/C.C._de_la_Población_Casco_Central.pdf
102,español,C.C. de Villa Rosa,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20de%20Villa%20Rosa-spa.pdf,pdf/vz/C.C._de_Villa_Rosa.pdf
103,español,C.C. del Sector I Cachunchú Viejo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20del%20Sector%20I%20Cachunchú%20Viejo-spa.pdf,pdf/vz/C.C._del_Sector_I_Cachunchú_Viejo.pdf
104,español,C.C. Delicia Vieja I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Delicia%20Vieja%20I-spa.pdf,pdf/vz/C.C._Delicia_Vieja_I.pdf
105,español,C.C. Don Andrés Bello,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Don%20Andrés%20Bello-spa.pdf,pdf/vz/C.C._Don_Andrés_Bello.pdf
106,español,C.C. El 14,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%2014-spa.pdf,pdf/vz/C.C._El_14.pdf
107,español,C.C. El Bravo Pueblo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Bravo%20Pueblo-spa.pdf,pdf/vz/C.C._El_Bravo_Pueblo.pdf
108,español,C.C. El Cafetal,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Cafetal-spa.pdf,pdf/vz/C.C._El_Cafetal.pdf
109,español,C.C. El Castaño,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Castaño-spa.pdf,pdf/vz/C.C._El_Castaño.pdf
110,español,C.C. El Cedro,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Cedro-spa.pdf,pdf/vz/C.C._El_Cedro.pdf
111,español,C.C. El Chorro,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Chorro-spa.pdf,pdf/vz/C.C._El_Chorro.pdf
112,español,C.C. El Collao,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Collao-spa.pdf,pdf/vz/C.C._El_Collao.pdf
113,español,C.C. El Dátil,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Dátil-spa.pdf,pdf/vz/C.C._El_Dátil.pdf
114,español,C.C. El Gran Cacique del Hiranzo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Gran%20Cacique%20del%20Hiranzo-spa.pdf,pdf/vz/C.C._El_Gran_Cacique_del_Hiranzo.pdf
115,español,C.C. El Hatico,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Hatico-spa.pdf,pdf/vz/C.C._El_Hatico.pdf
116,español,C.C. El Hoscón,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Hoscón-spa.pdf,pdf/vz/C.C._El_Hoscón.pdf
117,español,C.C. El Hueco,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Hueco-spa.pdf,pdf/vz/C.C._El_Hueco.pdf
118,español,C.C. El Manguillo Sector 4,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Manguillo%20Sector%204-spa.pdf,pdf/vz/C.C._El_Manguillo_Sector_4.pdf
119,español,C.C. El Manguito 22 Hiranzo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Manguito%2022%20Hiranzo-spa.pdf,pdf/vz/C.C._El_Manguito_22_Hiranzo.pdf
120,español,C.C. El Menito,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Menito-spa.pdf,pdf/vz/C.C._El_Menito.pdf
121,español,C.C. el Monco,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20el%20Monco-spa.pdf,pdf/vz/C.C._el_Monco.pdf
122,español,C.C. El Nazareno,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Nazareno-spa.pdf,pdf/vz/C.C._El_Nazareno.pdf
123,español,C.C. El Porvenir Bolivariano,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Porvenir%20Bolivariano-spa.pdf,pdf/vz/C.C._El_Porvenir_Bolivariano.pdf
124,español,C.C. El Remolino,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Remolino-spa.pdf,pdf/vz/C.C._El_Remolino.pdf
125,español,C.C. El Renacer,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Renacer-spa.pdf,pdf/vz/C.C._El_Renacer.pdf
126,español,C.C. El Troncón Agua Nueva,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Troncón%20Agua%20Nueva-spa.pdf,pdf/vz/C.C._El_Troncón_Agua_Nueva.pdf
127,español,C.C. El Vegón,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Vegón-spa.pdf,pdf/vz/C.C._El_Vegón.pdf
128,español,C.C. Emprendedores Calle 1,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Emprendedores%20Calle%201-spa.pdf,pdf/vz/C.C._Emprendedores_Calle_1.pdf
129,español,C.C. En la Unión está la Fuerza,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20En%20la%20Unión%20está%20la%20Fuerza-spa.pdf,pdf/vz/C.C._En_la_Unión_está_la_Fuerza.pdf
130,español,C.C. ES.NI.VA,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20ES.NI.VA-spa.pdf,pdf/vz/C.C._ES.NI.VA.pdf
131,español,C.C. Esfuerzo Comunitario,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Esfuerzo%20Comunitario-spa.pdf,pdf/vz/C.C._Esfuerzo_Comunitario.pdf
